"","VIC_EDAD","VIC_ESCOLARIDAD","QUIEN_REPORTA","AGR_EDAD","AGR_ESCOLARIDAD","OTRAS_VICTIMAS","VIC_OTRAS_MUJ","HEC_ANO","ANO_EMISION","NUM_MES_EMISION","cluster_k"
"1",21,3,1,25,6,3,0,2008,2008,1,2
"3",43,7,1,41,7,3,0,2008,2008,1,3
"4",35,11,1,35,7,4,0,2008,2008,1,3
"6",44,2,1,46,8,3,0,2007,2008,1,1
"7",28,7,1,35,7,4,0,2008,2008,1,3
"8",76,0,1,74,7,1,0,2008,2008,1,1
"9",49,0,1,49,7,1,0,2008,2008,1,1
"11",37,7,1,24,7,7,0,2007,2008,1,2
"12",41,11,1,44,7,4,0,2008,2008,1,3
"13",59,0,4,61,0,3,0,2008,2008,1,1
"14",33,0,1,35,7,4,0,2007,2008,1,3
"15",40,7,1,43,7,7,0,2008,2008,1,3
"16",35,7,1,36,11,6,0,2008,2008,1,3
"17",42,7,1,43,11,4,0,2008,2008,1,3
"19",34,0,1,32,7,4,0,2008,2008,1,3
"29",32,6,1,40,10,4,2,2008,2008,1,3
"30",42,4,1,49,6,3,0,2008,2008,1,1
"31",39,5,1,43,2,4,0,2008,2008,1,3
"32",32,4,1,35,3,6,0,2008,2008,1,3
"33",41,0,1,44,6,6,3,2007,2008,1,3
"34",35,6,1,37,6,3,0,2008,2008,1,3
"35",37,0,1,45,6,5,0,2008,2008,1,3
"36",26,6,1,28,6,4,0,2008,2008,1,2
"42",44,7,1,25,11,2,0,2007,2008,1,3
"45",31,23,1,34,23,2,0,2007,2008,1,3
"46",29,15,1,32,15,4,0,2008,2008,1,2
"48",26,11,1,29,15,2,0,2008,2008,1,2
"52",22,7,1,23,11,1,0,2008,2008,1,2
"53",54,0,1,55,7,1,0,2008,2008,1,1
"56",31,23,1,29,23,1,0,2008,2008,1,2
"57",38,11,1,44,23,1,0,2007,2008,1,3
"58",19,7,1,25,7,2,0,2008,2008,1,2
"60",21,7,1,21,11,1,0,2008,2008,1,2
"66",28,15,1,73,15,2,0,2008,2008,1,1
"67",57,0,1,27,7,4,2,2008,2008,1,1
"71",57,3,1,35,7,2,1,2008,2008,1,1
"73",52,15,1,39,15,2,0,2008,2008,1,1
"74",34,11,1,36,23,4,0,2007,2008,1,3
"75",27,10,1,32,6,8,3,2008,2008,1,2
"76",23,7,1,28,11,2,0,2008,2008,1,2
"77",32,1,1,34,5,5,1,2008,2008,1,3
"79",16,7,1,19,11,2,0,2008,2008,1,2
"81",33,7,1,33,15,5,0,2007,2008,1,3
"83",39,1,1,19,1,5,0,2008,2008,1,2
"84",29,0,1,34,3,6,0,2008,2008,1,3
"85",35,11,1,28,13,3,0,2008,2008,1,3
"86",33,13,1,36,13,5,0,2008,2008,1,3
"87",31,4,1,42,0,7,0,2008,2008,1,3
"88",32,9,1,35,6,3,0,2008,2008,1,3
"89",37,1,1,41,5,5,0,2008,2008,1,3
"90",23,13,1,24,13,2,0,2008,2008,1,2
"93",36,6,1,40,3,3,0,2008,2008,1,3
"94",22,10,1,24,10,3,1,2008,2008,1,2
"95",26,8,1,31,8,3,0,2008,2008,1,2
"97",32,10,1,36,2,2,0,2008,2008,1,3
"98",45,0,1,38,2,8,1,2008,2008,1,1
"99",26,18,1,24,10,3,0,2008,2008,1,2
"100",59,1,1,63,1,3,0,2008,2008,1,1
"101",28,10,1,27,13,1,0,2007,2008,1,2
"102",41,6,1,45,6,1,0,2007,2008,1,3
"104",40,13,1,41,13,1,0,2007,2008,1,3
"105",52,10,1,59,6,1,0,2007,2008,1,1
"106",27,6,1,34,10,4,3,2008,2008,1,3
"107",37,2,1,40,6,2,0,2007,2008,1,3
"109",33,10,1,31,6,3,0,2008,2008,1,3
"111",43,9,1,45,7,7,2,2008,2008,1,1
"113",41,15,1,50,11,5,1,2008,2008,1,1
"115",43,15,1,37,9,4,0,2007,2008,1,3
"116",26,14,1,31,14,3,1,2007,2008,1,2
"118",30,7,1,28,6,5,0,2008,2008,1,2
"120",20,2,1,30,8,1,0,2008,2008,1,2
"126",29,14,1,31,14,1,0,2007,2008,1,2
"127",37,6,1,21,5,1,0,2008,2008,1,2
"128",39,0,1,36,14,1,0,2007,2008,1,3
"129",21,8,1,23,6,1,0,2007,2008,1,2
"130",44,6,1,50,13,1,0,2008,2008,1,1
"131",31,14,1,33,6,1,0,2008,2008,1,3
"132",87,6,1,63,14,1,0,2007,2008,1,1
"133",38,6,1,47,1,1,0,2008,2008,1,3
"134",26,12,1,25,6,1,0,2008,2008,1,2
"136",27,14,1,42,14,1,0,2007,2008,1,3
"137",36,2,1,41,6,1,0,2008,2008,1,3
"141",28,11,1,30,7,2,0,2008,2008,1,2
"142",38,11,1,40,11,3,0,2008,2008,1,3
"143",27,14,1,28,10,3,1,2008,2008,1,2
"144",30,4,1,41,0,4,1,2008,2008,1,3
"145",45,14,1,46,14,3,1,2008,2008,1,1
"146",25,13,1,25,9,3,0,2008,2008,1,2
"148",35,10,1,39,10,4,0,2008,2008,1,3
"149",23,13,1,21,10,2,0,2008,2008,1,2
"152",21,7,1,28,7,3,0,2008,2008,1,2
"157",23,3,1,22,3,2,1,2008,2008,1,2
"158",21,10,1,21,14,2,0,2008,2008,1,2
"160",15,6,1,28,6,2,1,2008,2008,1,2
"162",30,7,1,51,0,2,0,2008,2008,1,3
"163",31,14,1,37,13,4,1,2008,2008,1,3
"168",21,15,1,22,15,2,0,2007,2008,1,2
"169",25,15,1,31,11,4,1,2008,2008,1,2
"170",33,15,1,32,23,4,0,2008,2008,1,3
"172",36,7,1,60,7,1,0,2008,2008,1,1
"173",18,0,1,28,11,1,0,2008,2008,1,2
"175",42,15,1,46,23,1,0,2008,2008,1,3
"176",31,7,1,32,7,1,0,2008,2008,1,3
"177",27,14,1,23,11,1,0,2008,2008,1,2
"179",40,14,1,30,14,1,0,2008,2008,1,3
"185",45,7,1,49,23,1,0,2008,2008,1,1
"186",26,14,1,38,0,3,0,2008,2008,1,3
"187",31,6,1,40,6,3,1,2008,2008,1,3
"188",35,6,1,50,6,3,1,2008,2008,1,3
"190",32,15,1,34,15,3,0,2008,2008,1,3
"192",30,10,1,29,6,4,0,2008,2008,1,2
"195",40,6,1,32,10,2,0,2006,2008,1,3
"200",40,0,1,44,9,4,2,2007,2008,1,3
"201",28,16,1,31,13,2,0,2006,2008,1,2
"207",30,3,1,29,8,4,0,2007,2008,1,2
"217",24,10,1,25,6,3,0,2007,2008,1,2
"218",23,10,1,28,10,2,0,2007,2008,1,2
"221",28,0,1,27,6,3,0,2007,2008,1,2
"222",27,6,1,27,10,3,0,2008,2008,1,2
"223",37,6,1,40,13,4,0,2006,2008,1,3
"225",40,3,1,31,5,3,0,2007,2008,1,3
"231",28,15,1,28,15,3,2,2008,2008,1,2
"239",36,11,1,51,15,3,0,2008,2008,1,3
"245",21,15,1,27,15,2,0,2008,2008,1,2
"246",50,15,1,50,7,3,0,2008,2008,1,1
"249",26,0,1,25,0,4,1,2008,2008,1,2
"251",18,15,1,22,15,3,2,2008,2008,1,2
"258",51,23,1,57,23,3,1,2008,2008,1,1
"259",32,2,1,33,3,1,0,2008,2008,1,3
"260",29,13,1,57,13,1,0,2008,2008,1,3
"261",33,14,1,32,14,1,0,2008,2008,1,3
"262",31,14,1,37,14,1,0,2008,2008,1,3
"263",32,6,1,31,6,1,0,2008,2008,1,3
"265",22,14,1,23,14,1,0,2008,2008,1,2
"266",19,6,1,24,6,1,0,2008,2008,1,2
"267",51,0,1,45,0,1,0,2008,2008,1,1
"268",32,0,1,33,3,1,0,2008,2008,1,3
"269",31,13,1,35,8,1,0,2008,2008,1,3
"270",19,14,1,27,13,1,0,2008,2008,1,2
"271",39,6,1,33,9,1,0,2008,2008,1,3
"272",38,19,1,39,20,1,0,2008,2008,1,3
"273",29,4,1,30,13,1,0,2008,2008,1,2
"274",28,10,1,26,6,2,0,2008,2008,1,2
"275",29,0,1,30,0,7,0,2008,2008,1,2
"276",27,0,1,31,0,4,0,2008,2008,1,2
"277",54,0,1,23,9,2,1,2008,2008,1,3
"280",18,11,1,19,11,3,1,2008,2008,1,2
"283",20,12,1,22,10,3,1,2008,2008,1,2
"285",31,23,1,34,23,3,0,2008,2008,1,3
"287",20,11,1,28,7,3,0,2008,2008,1,2
"300",31,14,1,42,10,1,0,2008,2008,1,3
"302",49,6,1,33,2,3,0,2008,2008,1,1
"303",26,6,1,30,6,1,0,2008,2008,1,2
"304",37,14,1,40,10,1,0,2008,2008,1,3
"306",25,14,1,27,14,1,0,2008,2008,1,2
"307",31,15,1,42,10,5,0,2008,2008,1,3
"308",16,10,2,39,14,2,0,2008,2008,1,2
"309",34,9,1,39,14,3,0,2008,2008,1,3
"310",45,6,1,47,6,3,0,2008,2008,1,1
"311",49,9,1,45,10,2,0,2008,2008,1,1
"312",32,13,1,41,23,4,0,2008,2008,1,3
"313",45,0,1,58,0,2,0,2008,2008,1,1
"314",50,6,1,22,3,5,3,2008,2008,1,3
"315",70,0,1,45,6,4,2,2008,2008,1,1
"316",44,0,2,22,2,2,1,2008,2008,1,3
"317",20,6,1,24,6,1,0,2008,2008,1,2
"318",16,8,1,20,9,1,0,2008,2008,1,2
"319",18,14,1,26,14,3,0,2007,2008,1,2
"320",23,6,1,27,14,3,0,2008,2008,1,2
"321",33,3,1,48,10,5,0,2008,2008,1,3
"322",24,4,1,57,6,3,0,2008,2008,1,3
"323",15,0,1,51,0,2,0,2008,2008,1,3
"324",24,4,1,26,6,3,0,2008,2008,1,2
"325",78,0,2,41,6,1,0,2008,2008,1,1
"326",40,0,1,42,0,1,0,2008,2008,1,3
"327",33,4,1,37,14,1,0,2008,2008,1,3
"328",70,0,1,40,1,1,0,2008,2008,1,1
"329",38,0,1,42,0,1,0,2008,2008,1,3
"331",17,5,1,38,14,2,0,2007,2008,1,2
"332",41,11,1,42,7,5,0,2008,2008,1,3
"334",24,0,1,34,6,3,0,2008,2008,1,2
"337",34,10,1,38,14,3,0,2007,2008,1,3
"338",25,6,1,29,3,2,0,2008,2008,1,2
"339",27,14,1,31,14,4,0,2007,2008,1,2
"340",16,10,1,22,6,1,0,2008,2008,1,2
"341",25,6,1,26,6,2,0,2008,2008,1,2
"343",26,10,1,30,14,1,0,2007,2008,1,2
"344",18,6,2,21,6,1,0,2008,2008,1,2
"345",32,6,1,42,10,4,0,2008,2008,1,3
"346",24,0,1,30,6,4,0,2008,2008,1,2
"347",19,15,2,49,6,4,1,2006,2008,1,3
"348",50,10,1,45,10,1,0,2008,2008,1,1
"349",38,8,1,23,3,3,0,2007,2008,1,2
"350",30,6,1,33,6,4,0,2008,2008,1,3
"351",35,10,1,33,10,6,0,2008,2008,1,3
"352",51,3,1,54,4,6,0,2008,2008,1,1
"353",22,15,1,29,15,2,0,2008,2008,1,2
"354",33,15,1,28,23,4,0,2008,2008,1,2
"355",25,15,1,24,15,2,0,2008,2008,1,2
"356",29,15,1,29,15,3,0,2008,2008,1,2
"357",38,10,1,37,10,3,1,2007,2008,1,3
"358",29,6,1,32,15,6,0,2007,2008,1,2
"359",22,10,1,26,15,4,0,2008,2008,1,2
"360",32,14,1,35,14,5,0,2008,2008,1,3
"363",37,4,4,44,2,1,0,2008,2008,1,3
"364",28,4,1,29,6,2,0,2008,2008,1,2
"366",46,0,1,60,6,3,0,2007,2008,1,1
"369",36,4,1,40,6,2,0,2008,2008,1,3
"371",33,6,1,32,2,5,0,2008,2008,1,3
"372",30,6,1,30,9,1,0,2008,2008,1,2
"375",46,6,1,17,9,4,0,2008,2008,1,2
"376",21,8,1,21,6,2,0,2008,2008,1,2
"380",29,3,1,29,5,1,0,2008,2008,1,2
"382",29,14,1,30,14,2,0,2008,2008,1,2
"383",19,10,1,25,10,4,0,2008,2008,1,2
"384",27,7,1,25,0,2,0,2008,2008,1,2
"385",36,0,1,39,0,6,0,2008,2008,1,3
"386",20,4,1,28,10,3,0,2008,2008,1,2
"387",37,7,4,40,7,5,4,2008,2008,1,3
"388",59,0,1,60,0,11,0,2008,2008,1,1
"389",38,14,1,33,6,6,0,2008,2008,1,3
"391",36,3,1,39,14,5,0,2008,2008,1,3
"393",37,1,1,42,0,5,0,2008,2008,1,3
"397",32,6,1,32,6,4,0,2008,2008,1,3
"398",31,0,1,33,3,7,0,2008,2008,1,3
"399",37,10,1,34,6,4,0,2008,2008,1,3
"400",26,10,1,27,10,3,0,2008,2008,1,2
"401",30,10,1,30,10,3,0,2007,2008,1,2
"402",17,6,1,33,9,4,0,2008,2008,1,2
"403",46,3,1,44,8,6,0,2008,2008,1,1
"404",26,2,1,25,10,2,0,2008,2008,1,2
"405",37,6,1,53,6,4,0,2008,2008,1,1
"406",16,0,1,28,6,2,0,2007,2008,1,2
"408",18,10,1,22,10,2,0,2008,2008,1,2
"410",21,6,1,21,5,1,0,2008,2008,1,2
"411",40,0,1,43,3,3,0,2008,2008,1,3
"412",22,6,1,26,6,2,0,2007,2008,1,2
"413",30,0,1,30,6,5,0,2008,2008,1,2
"419",43,7,1,43,7,6,0,2008,2008,1,1
"421",46,0,1,52,0,4,1,2008,2008,1,1
"423",17,6,1,21,9,1,0,2008,2008,1,2
"426",19,3,1,22,3,2,0,2008,2008,1,2
"427",55,0,1,55,1,8,3,2008,2008,1,1
"428",30,4,1,30,6,5,2,2008,2008,1,2
"429",26,6,1,25,3,2,0,2008,2008,1,2
"431",34,0,1,34,5,7,0,2008,2008,1,3
"432",38,2,1,36,6,5,0,2008,2008,1,3
"433",63,0,1,65,0,2,0,2008,2008,1,1
"435",27,6,1,30,14,5,0,2008,2008,1,2
"436",26,6,1,26,3,4,0,2008,2008,1,2
"437",24,1,1,30,0,3,0,2008,2008,1,2
"438",58,0,1,35,0,3,1,2008,2008,1,1
"440",21,5,1,24,6,1,0,2008,2008,1,2
"441",44,2,1,57,2,4,1,2008,2008,1,1
"442",45,0,1,45,0,1,0,2008,2008,1,1
"443",47,4,1,52,0,5,0,2008,2008,1,1
"455",30,23,1,32,23,5,3,2008,2008,1,2
"457",21,11,1,26,11,2,0,2008,2008,1,2
"459",7,0,2,29,7,2,0,2008,2008,1,2
"467",27,7,1,31,7,4,2,2008,2008,1,2
"468",21,11,1,25,7,2,0,2008,2008,1,2
"469",24,11,1,25,11,1,0,2008,2008,1,2
"470",27,11,1,32,7,2,0,2008,2008,1,2
"471",25,11,1,29,11,1,0,2008,2008,1,2
"472",16,11,1,23,11,1,0,2008,2008,1,2
"473",21,7,1,33,11,1,0,2008,2008,1,2
"483",29,6,1,33,10,4,0,2008,2008,1,3
"484",29,9,1,32,6,3,0,2008,2008,1,2
"486",43,6,1,45,8,4,0,2008,2008,1,1
"487",29,15,1,32,11,3,0,2008,2008,1,2
"488",28,2,1,30,6,2,0,2008,2008,1,2
"489",30,0,1,70,5,5,1,2008,2008,1,1
"490",27,6,1,29,9,5,2,2008,2008,1,2
"491",28,0,1,23,1,2,0,2007,2008,1,2
"497",27,11,1,35,11,2,0,2008,2008,1,3
"501",19,6,1,26,5,1,0,2008,2008,1,2
"503",26,6,1,24,6,1,0,2008,2008,1,2
"504",22,7,1,35,7,3,2,2007,2008,1,2
"506",21,14,1,23,5,1,0,2007,2008,1,2
"507",29,8,1,32,9,4,0,2008,2008,1,2
"508",39,3,1,37,0,1,0,2007,2008,1,3
"509",38,0,1,42,0,1,0,2007,2008,1,3
"510",31,6,1,34,10,1,0,2008,2008,1,3
"511",38,20,1,38,14,3,0,2008,2008,1,3
"512",26,14,1,32,4,1,0,2008,2008,1,2
"513",30,3,1,30,5,4,0,2008,2008,1,2
"514",31,5,1,37,9,1,0,2008,2008,1,3
"515",19,3,1,23,6,2,0,2008,2008,1,2
"516",21,1,1,25,4,2,0,2008,2008,1,2
"517",22,10,1,12,4,2,0,2008,2008,1,2
"518",30,8,1,33,5,1,0,2008,2008,1,3
"519",25,4,1,35,4,1,0,2008,2008,1,2
"520",51,2,1,36,6,3,0,2008,2008,1,1
"522",20,6,1,23,0,2,1,2008,2008,1,2
"530",30,15,1,35,11,2,0,2008,2008,1,3
"531",24,15,1,25,11,2,0,2008,2008,1,2
"537",31,3,1,33,4,4,3,2008,2008,1,3
"542",32,0,1,33,6,4,0,2007,2008,1,3
"545",30,0,1,30,2,5,0,2008,2008,1,2
"557",24,7,1,25,7,2,0,2008,2008,1,2
"560",30,7,1,32,7,3,0,2008,2008,1,3
"564",33,10,1,40,4,4,0,2006,2008,1,3
"565",22,14,1,33,10,4,1,2007,2008,1,2
"566",34,2,1,40,2,7,0,2008,2008,1,3
"586",33,7,1,40,7,5,2,2008,2008,1,3
"597",56,0,1,26,7,2,1,2008,2008,1,1
"601",25,0,1,28,7,2,0,2008,2008,1,2
"606",24,15,1,29,7,2,0,2007,2008,1,2
"607",23,11,1,20,7,2,0,2008,2008,1,2
"611",28,7,1,30,7,2,1,2008,2008,1,2
"612",19,7,1,21,11,2,1,2008,2008,1,2
"613",16,11,1,20,11,2,0,2008,2008,1,2
"615",38,7,1,37,11,5,0,2008,2008,1,3
"617",26,7,1,28,7,1,0,2008,2008,1,2
"618",27,6,1,35,9,3,1,2008,2008,1,3
"622",29,7,1,31,7,2,0,2008,2008,1,2
"625",17,0,1,19,7,2,0,2008,2008,1,2
"628",33,13,1,35,12,2,1,2008,2008,1,3
"629",25,11,1,35,7,3,0,2008,2008,1,2
"630",32,7,1,28,7,4,0,2008,2008,1,2
"631",21,7,1,19,7,2,0,2008,2008,1,2
"632",16,11,1,21,11,2,0,2008,2008,1,2
"633",20,7,1,26,7,2,0,2008,2008,1,2
"637",36,6,1,37,15,2,1,2008,2008,1,3
"644",46,15,1,54,15,1,0,2008,2008,1,1
"645",27,7,1,29,7,3,0,2007,2008,1,2
"646",44,7,1,47,7,3,2,2008,2008,1,1
"647",42,6,1,48,6,1,0,2008,2008,1,1
"648",38,3,1,40,4,6,2,2008,2008,1,3
"650",46,0,1,52,7,5,2,2008,2008,1,1
"652",38,3,1,29,6,2,1,2008,2008,1,3
"653",47,7,1,50,7,15,0,2008,2008,1,1
"658",37,15,1,38,7,3,0,2008,2008,1,3
"663",27,0,1,30,0,4,0,2008,2008,1,2
"673",23,0,1,27,6,3,2,2008,2008,1,2
"678",28,7,1,28,7,4,0,2007,2008,1,2
"679",23,7,1,25,0,3,0,2007,2008,1,2
"682",35,0,1,26,7,3,0,2007,2008,1,2
"684",50,0,1,25,0,2,0,2008,2008,1,3
"686",28,2,1,29,7,2,1,2008,2008,1,2
"691",29,7,1,39,11,2,0,2008,2008,1,3
"701",31,15,1,35,15,3,0,2008,2008,1,3
"702",32,7,1,35,7,3,0,2008,2008,1,3
"705",26,3,1,25,6,3,0,2008,2008,1,2
"706",40,0,1,47,7,6,0,2008,2008,1,1
"708",36,0,1,37,0,3,0,2008,2008,1,3
"713",26,7,1,58,0,4,0,2008,2008,1,3
"714",53,0,1,55,11,6,3,2008,2008,1,1
"715",38,0,1,27,0,2,0,2008,2008,1,3
"719",52,7,1,57,0,6,0,2008,2008,1,1
"721",48,7,1,51,0,5,1,2007,2008,1,1
"724",50,11,1,55,11,1,0,2008,2008,1,1
"725",30,15,1,29,15,2,1,2008,2008,1,2
"728",30,10,1,22,10,2,0,2007,2008,1,2
"730",68,0,1,34,10,4,0,2008,2008,1,1
"731",36,10,1,36,14,5,0,2008,2008,1,3
"732",23,7,1,19,7,2,0,2007,2008,1,2
"733",23,0,2,23,11,3,0,2004,2008,1,2
"736",49,0,1,50,0,4,0,2008,2008,1,1
"737",21,6,1,23,8,2,0,2008,2008,1,2
"739",38,6,1,45,6,2,1,2007,2008,1,3
"743",26,7,1,40,10,3,0,2008,2008,1,3
"744",21,14,1,25,14,4,0,2008,2008,1,2
"745",40,11,1,49,14,4,0,2008,2008,1,1
"746",47,10,1,38,10,4,0,2008,2008,1,1
"747",19,10,1,21,14,2,0,2008,2008,1,2
"748",24,0,1,28,0,2,0,2008,2008,1,2
"749",32,6,1,30,6,2,0,2008,2008,1,3
"752",33,10,1,38,14,4,0,2008,2008,1,3
"753",23,10,1,28,10,2,0,2008,2008,1,2
"754",18,10,1,40,10,3,0,2008,2008,1,2
"755",33,14,1,36,10,5,0,2008,2008,1,3
"756",23,6,1,28,10,2,0,2008,2008,1,2
"770",40,0,1,42,7,4,0,2008,2008,1,3
"772",32,6,1,35,3,5,2,2008,2008,1,3
"775",24,0,1,27,0,2,0,2008,2008,1,2
"776",37,7,1,41,0,2,0,2008,2008,1,3
"779",21,15,1,22,15,2,0,2008,2008,1,2
"780",46,6,1,37,10,2,0,2008,2008,1,3
"781",35,2,1,39,12,2,1,2006,2008,1,3
"782",41,4,1,25,5,1,0,2008,2008,1,3
"783",65,2,1,30,4,1,0,2008,2008,1,1
"784",30,9,1,59,3,1,0,2008,2008,1,3
"785",37,4,1,30,6,1,0,2008,2008,1,3
"786",30,4,1,32,6,1,0,2008,2008,1,3
"787",29,6,1,32,6,1,0,2008,2008,1,2
"788",29,6,1,32,6,1,0,2008,2008,1,2
"789",30,3,1,35,6,1,0,2008,2008,1,3
"790",31,5,1,33,3,1,0,2008,2008,1,3
"791",28,0,1,30,2,1,0,2008,2008,1,2
"792",32,5,1,35,6,1,0,2008,2008,1,3
"793",30,6,1,37,3,2,0,2008,2008,1,3
"794",30,3,1,36,4,1,0,2008,2008,1,3
"795",29,0,1,31,2,1,0,2008,2008,1,2
"796",28,5,1,31,2,1,0,2008,2008,1,2
"797",30,14,1,35,6,1,0,2008,2008,1,3
"798",29,6,1,23,6,1,0,2008,2008,1,2
"799",29,0,1,30,6,3,0,2008,2008,1,2
"800",30,9,1,39,14,1,0,2008,2008,1,3
"801",39,6,1,41,14,1,0,2008,2008,1,3
"802",22,12,1,32,14,2,0,2008,2008,1,2
"803",52,2,1,49,13,4,3,2008,2008,1,1
"804",42,10,1,38,6,1,0,2008,2008,1,3
"805",25,4,1,20,5,3,0,2008,2008,1,2
"806",38,0,1,42,1,1,0,2008,2008,1,3
"807",23,6,1,33,6,1,0,2008,2008,1,2
"808",40,0,1,48,0,1,0,2007,2008,1,1
"810",51,0,1,21,3,5,0,2007,2008,1,3
"811",51,0,1,15,6,3,2,2008,2008,1,3
"812",28,6,1,28,6,1,0,2008,2008,1,2
"813",27,14,1,31,14,1,0,2008,2008,1,2
"814",23,9,1,21,13,2,0,2008,2008,1,2
"815",43,13,1,43,10,1,0,2008,2008,1,3
"816",23,6,1,27,18,1,0,2007,2008,1,2
"817",38,2,1,39,6,1,0,2008,2008,1,3
"818",37,6,1,39,6,3,2,2008,2008,1,3
"819",33,3,1,28,6,2,0,2008,2008,1,2
"820",26,6,4,31,0,1,0,2008,2008,1,2
"821",24,6,1,25,6,1,0,2008,2008,1,2
"822",30,9,1,39,14,4,0,2008,2008,1,3
"823",21,3,1,19,2,1,0,2008,2008,1,2
"824",53,14,1,54,14,1,0,2008,2008,1,1
"825",23,14,1,27,14,5,2,2008,2008,1,2
"826",20,0,1,23,6,1,0,2008,2008,1,2
"827",62,0,1,27,3,7,2,2008,2008,1,1
"828",28,0,1,30,3,6,0,2008,2008,1,2
"829",21,10,1,24,10,1,0,2008,2008,1,2
"830",39,10,1,49,10,5,1,2008,2008,1,3
"831",25,0,1,25,6,4,1,2008,2008,1,2
"832",26,0,1,54,0,2,0,2008,2008,1,3
"833",22,12,1,32,14,1,0,2008,2008,1,2
"834",19,13,1,21,10,1,0,2008,2008,1,2
"835",29,0,1,42,3,6,0,2008,2008,1,3
"836",51,0,1,20,6,4,0,2008,2008,1,3
"837",22,15,1,21,15,2,0,2008,2008,1,2
"838",27,2,1,28,2,1,0,2008,2008,1,2
"839",18,5,1,27,4,5,1,2008,2008,1,2
"840",32,14,1,34,14,1,0,2008,2008,1,3
"841",40,0,1,44,0,11,0,2008,2008,1,3
"842",33,11,1,41,14,4,0,2008,2008,1,3
"843",24,5,1,27,14,1,0,2008,2008,1,2
"844",25,0,1,29,7,3,0,2008,2008,1,2
"845",63,0,1,57,0,1,0,2007,2008,1,1
"846",41,7,1,44,7,3,0,2008,2008,1,3
"847",35,6,1,35,11,4,0,2008,2008,1,3
"849",40,0,1,40,7,1,0,2008,2008,1,3
"850",62,0,1,70,0,1,0,2008,2008,1,1
"851",26,2,1,30,0,4,0,2008,2008,1,2
"852",25,7,1,32,7,4,2,2008,2008,1,2
"853",50,0,1,51,0,3,1,2008,2008,1,1
"855",29,7,1,35,7,2,1,2008,2008,1,3
"859",44,0,1,51,7,1,0,2008,2008,1,1
"860",44,0,1,50,15,1,0,2008,2008,1,1
"862",22,10,1,28,6,2,0,2008,2008,1,2
"863",41,0,1,42,6,6,0,2007,2008,1,3
"864",52,0,1,51,0,4,0,2007,2008,1,1
"865",29,0,1,27,4,4,0,2008,2008,1,2
"866",38,15,1,40,15,4,0,2008,2008,1,3
"868",46,12,1,50,14,2,1,2008,2008,1,1
"869",18,14,1,21,14,1,0,2008,2008,1,2
"870",24,8,1,30,3,1,0,2008,2008,1,2
"871",33,10,1,30,10,4,0,2008,2008,1,3
"872",54,0,1,53,0,2,1,2008,2008,1,1
"874",54,10,1,55,14,3,1,2008,2008,1,1
"875",18,9,1,18,10,1,0,2008,2008,1,2
"879",21,3,1,23,6,2,0,2008,2008,1,2
"883",30,6,1,30,6,6,0,2008,2008,1,2
"884",37,3,2,41,6,1,0,2008,2008,1,3
"886",31,11,1,33,11,1,0,2008,2008,1,3
"887",22,11,1,23,7,1,0,2008,2008,1,2
"888",20,7,1,28,11,1,0,2008,2008,1,2
"889",30,11,1,33,11,1,0,2008,2008,1,3
"890",19,7,1,22,7,1,0,2007,2008,1,2
"891",32,11,1,35,11,1,0,2007,2008,1,3
"892",34,7,1,46,7,1,0,2007,2008,1,3
"893",45,7,1,43,7,1,0,2007,2008,1,1
"895",17,10,1,24,15,2,0,2007,2008,1,2
"896",25,7,1,26,7,1,0,2007,2008,1,2
"897",18,7,1,22,7,1,0,2008,2008,1,2
"898",18,0,1,39,0,1,0,2008,2008,1,2
"900",49,7,1,50,0,6,0,2008,2008,1,1
"901",25,6,1,26,6,3,0,2008,2008,1,2
"905",26,7,1,25,7,4,0,2007,2008,1,2
"907",25,11,1,33,15,2,0,2008,2008,1,2
"908",19,0,1,20,7,3,0,2008,2008,1,2
"913",22,6,1,25,4,1,0,2008,2008,1,2
"915",48,0,1,50,0,1,0,2008,2008,1,1
"917",19,6,1,29,6,2,1,2008,2008,1,2
"922",32,4,1,35,0,3,0,2008,2008,1,3
"923",29,7,1,28,7,1,0,2008,2008,1,2
"926",16,7,1,18,7,1,0,2008,2008,1,2
"929",37,0,1,39,7,7,0,2008,2008,1,3
"935",36,10,1,38,11,3,0,2007,2008,1,3
"939",41,6,1,45,10,4,1,2008,2008,1,3
"940",26,6,1,26,10,4,0,2007,2008,1,2
"941",43,6,1,43,10,9,0,2008,2008,1,1
"943",19,6,1,25,6,3,0,2008,2008,1,2
"953",42,3,1,56,3,8,3,2008,2008,1,1
"954",27,0,1,31,6,4,0,2007,2008,1,2
"956",29,14,1,28,12,2,0,2008,2008,1,2
"957",17,0,1,23,6,2,0,2008,2008,1,2
"958",33,6,1,35,6,6,0,2008,2008,1,3
"960",26,6,1,28,0,6,0,2008,2008,1,2
"961",29,0,1,27,6,4,0,2008,2008,1,2
"963",20,6,1,22,7,3,0,2008,2008,1,2
"964",23,6,1,28,6,3,0,2008,2008,1,2
"965",47,0,1,49,7,6,3,2008,2008,1,1
"966",33,2,1,34,10,7,0,2008,2008,1,3
"967",37,0,1,42,7,6,0,2008,2008,1,3
"968",41,4,1,41,2,7,0,2008,2008,1,3
"971",36,4,1,40,3,3,0,2008,2008,1,3
"977",39,0,1,40,0,4,0,2008,2008,1,3
"978",49,6,1,46,3,4,2,2008,2008,1,1
